epoch,l_wl,l_cong,l_dh,l_ds,loss,proxy,w_wl,w_dh,w_ds,w_cong,delta_proxy,adapt_step
52,0.05218978226,1.492892861,0.7111472487,0,1.154209852,,1,0.5,0,0.5,,
53,0.05218898505,1.492321968,0.7097331882,0,1.1532166,,1,0.5,0,0.5,,
54,0.05218824744,1.491813302,0.7083092332,0,1.152249575,,1,0.5,0,0.5,,
55,0.05218750983,1.491240501,0.7069097757,0,1.151262641,,1,0.5,0,0.5,,
56,0.05218677223,1.491090059,0.7055649757,0,1.150514364,,1,0.5,0,0.5,,
57,0.05218626931,1.489749432,0.7042374611,0,1.149179697,,1,0.5,0,0.5,,
58,0.05218599364,1.489220977,0.7029172778,0,1.14825511,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=59 sur_raw(wl,dh,cong)=(0.0521856,0.700301,1.4882) px_raw(wl,den,cong)=(0.0641328,0.700301,1.16146) pv=0.995013 sur_n=0.9973/0.8625/0.9757 px_n=1.0008/0.8625/1.0227 gap_n(sur-px)=-0.0035/+0.0000/-0.0470 max_abs_gap=congestion(0.0470)
59,0.0521857366,1.488756299,0.7016128898,0,1.147370338,0.9950129185,1,0.5,0,0.5,,
60,0.05218560994,1.488197327,0.7003013492,0,1.146435022,,1,0.5,0,0.5,,
61,0.05218545347,1.48758328,0.6990046501,0,1.145479441,,1,0.5,0,0.5,,
62,0.05218540132,1.486882448,0.6977208257,0,1.144487023,,1,0.5,0,0.5,,
63,0.0521854423,1.487939715,0.6964156032,0,1.144363165,,1,0.5,0,0.5,,
64,0.0521854721,1.487493157,0.6951438189,0,1.143503904,,1,0.5,0,0.5,,
65,0.05218556151,1.487040997,0.6938768029,0,1.142644405,,1,0.5,0,0.5,,
66,0.05218578875,1.486385703,0.6926188469,0,1.141688108,,1,0.5,0,0.5,,
67,0.05218599364,1.487224579,0.6913557649,0,1.141476154,,1,0.5,0,0.5,,
68,0.05218628794,1.486788034,0.6900871396,0,1.140623808,,1,0.5,0,0.5,,
69,0.05218658596,1.486378074,0.6888444424,0,1.139797807,,1,0.5,0,0.5,,
70,0.05218699202,1.485374093,0.6876642108,0,1.138706207,,1,0.5,0,0.5,,
71,0.05218728259,1.484357953,0.6865211725,0,1.137626886,,1,0.5,0,0.5,,
72,0.05218755081,1.483761549,0.6853857636,0,1.136761189,,1,0.5,0,0.5,,
73,0.05218783394,1.483251214,0.6842259765,0,1.135926485,,1,0.5,0,0.5,,
74,0.05218802765,1.483704925,0.6830772161,0,1.135579109,,1,0.5,0,0.5,,
75,0.05218822882,1.483308911,0.6819533706,0,1.134819388,,1,0.5,0,0.5,,
76,0.05218841508,1.482862115,0.6808238029,0,1.134031415,,1,0.5,0,0.5,,
77,0.05218875036,1.48292768,0.6796978116,0,1.13350153,,1,0.5,0,0.5,,
78,0.05218929797,1.481786132,0.6785846949,0,1.132374763,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=79 sur_raw(wl,dh,cong)=(0.0521905,0.676452,1.48234) px_raw(wl,den,cong)=(0.0642081,0.676453,1.17094) pv=0.987905 sur_n=0.9974/0.8331/0.9719 px_n=1.0020/0.8331/1.0311 gap_n(sur-px)=-0.0046/+0.0000/-0.0592 max_abs_gap=congestion(0.0592)
79,0.05218988284,1.482751608,0.6775081754,0,1.132319808,0.9879054453,1,0.5,0,0.5,,
80,0.05219049007,1.482340932,0.6764524579,0,1.131587148,,1,0.5,0,0.5,,
81,0.05219107494,1.481916189,0.6754277945,0,1.13086307,,1,0.5,0,0.5,,
82,0.05219164863,1.481461406,0.674387753,0,1.130116224,,1,0.5,0,0.5,,
83,0.05219231173,1.481004119,0.6733739972,0,1.129381418,,1,0.5,0,0.5,,
84,0.05219295993,1.480572939,0.6723628044,0,1.128660798,,1,0.5,0,0.5,,
85,0.05219359696,1.480126977,0.6713455319,0,1.127929926,,1,0.5,0,0.5,,
86,0.05219416693,1.479454875,0.6703135967,0,1.127078414,,1,0.5,0,0.5,,
87,0.05219478905,1.479033589,0.6693107486,0,1.126366973,,1,0.5,0,0.5,,
88,0.05219531804,1.478529215,0.6682987213,0,1.125609279,,1,0.5,0,0.5,,
89,0.05219591409,1.478282213,0.6673210859,0,1.124997616,,1,0.5,0,0.5,,
90,0.05219644681,1.477866173,0.6663532853,0,1.124306202,,1,0.5,0,0.5,,
91,0.05219707638,1.477454662,0.6653822064,0,1.123615503,,1,0.5,0,0.5,,
92,0.05219769105,1.477035999,0.6643962264,0,1.122913837,,1,0.5,0,0.5,,
93,0.05219841003,1.476592064,0.6634356976,0,1.122212291,,1,0.5,0,0.5,,
94,0.05219915882,1.476379037,0.6624694467,0,1.121623397,,1,0.5,0,0.5,,
95,0.05219999701,1.478075981,0.661496222,0,1.121986151,,1,0.5,0,0.5,,
96,0.05220091343,1.477486372,0.6605756879,0,1.121231914,,1,0.5,0,0.5,,
97,0.05220189318,1.477318168,0.6596894264,0,1.120705724,,1,0.5,0,0.5,,
98,0.05220275372,1.477008104,0.6588022709,0,1.120107889,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=99 sur_raw(wl,dh,cong)=(0.0522042,0.657069,1.4763) px_raw(wl,den,cong)=(0.0642885,0.657069,1.18583) pv=0.98574 sur_n=0.9977/0.8092/0.9679 px_n=1.0033/0.8092/1.0442 gap_n(sur-px)=-0.0056/+0.0000/-0.0763 max_abs_gap=congestion(0.0763)
99,0.05220348388,1.476760387,0.6579343081,0,1.119550824,0.9857398456,1,0.5,0,0.5,,
100,0.05220421776,1.476296186,0.6570688486,0,1.118886709,,1,0.5,0,0.5,,
101,0.05220487714,1.475905418,0.6561976075,0,1.11825633,,1,0.5,0,0.5,,
102,0.05220568925,1.475513816,0.6552975178,0,1.117611408,,1,0.5,0,0.5,,
103,0.05220645666,1.475118399,0.6544134617,0,1.116972446,,1,0.5,0,0.5,,
104,0.05220723152,1.47465992,0.6535630226,0,1.116318703,,1,0.5,0,0.5,,
105,0.05220792443,1.474264383,0.6527110338,0,1.115695596,,1,0.5,0,0.5,,
106,0.05220862105,1.47381413,0.6518648267,0,1.11504817,,1,0.5,0,0.5,,
107,0.05220939964,1.473654509,0.6510096788,0,1.114541531,,1,0.5,0,0.5,,
108,0.05221023411,1.473007321,0.6501663923,0,1.113797069,,1,0.5,0,0.5,,
109,0.05221119896,1.470425844,0.6493105292,0,1.112079382,,1,0.5,0,0.5,,
110,0.05221225321,1.470051527,0.6484712958,0,1.11147368,,1,0.5,0,0.5,,
111,0.05221343786,1.469759703,0.6476657987,0,1.110926151,,1,0.5,0,0.5,,
112,0.0522145927,1.467563748,0.6468557119,0,1.109424353,,1,0.5,0,0.5,,
113,0.05221580341,1.467160583,0.6460527778,0,1.108822465,,1,0.5,0,0.5,,
114,0.05221712217,1.467102528,0.6452379227,0,1.108387351,,1,0.5,0,0.5,,
115,0.05221848562,1.467272043,0.6444379687,0,1.108073473,,1,0.5,0,0.5,,
116,0.05221996456,1.466391206,0.6436454058,0,1.107238293,,1,0.5,0,0.5,,
117,0.0522213541,1.466028452,0.6428552866,0,1.106663227,,1,0.5,0,0.5,,
118,0.0522226952,1.466126442,0.6420878768,0,1.106329918,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=119 sur_raw(wl,dh,cong)=(0.0522253,0.640576,1.4657) px_raw(wl,den,cong)=(0.0643744,0.640576,1.1892) pv=0.979263 sur_n=0.9981/0.7889/0.9610 px_n=1.0046/0.7889/1.0471 gap_n(sur-px)=-0.0065/-0.0000/-0.0862 max_abs_gap=congestion(0.0862)
119,0.0522239916,1.466283083,0.6413111687,0,1.106021166,0.9792632256,1,0.5,0,0.5,,
120,0.05222530663,1.465695262,0.640576303,0,1.105361104,,1,0.5,0,0.5,,
121,0.05222668126,1.463987708,0.6398490667,0,1.10414505,,1,0.5,0,0.5,,
122,0.0522281602,1.463511229,0.6391279697,0,1.103547812,,1,0.5,0,0.5,,
123,0.05222965404,1.463252544,0.6384026408,0,1.103057265,,1,0.5,0,0.5,,
124,0.05223112553,1.464235187,0.6376515627,0,1.103174448,,1,0.5,0,0.5,,
125,0.05223250017,1.46077013,0.6368739009,0,1.101054549,,1,0.5,0,0.5,,
126,0.05223390833,1.460401177,0.6361278296,0,1.100498438,,1,0.5,0,0.5,,
127,0.05223540217,1.460061908,0.6354182363,0,1.099975467,,1,0.5,0,0.5,,
128,0.05223697051,1.459688425,0.6347014308,0,1.099431872,,1,0.5,0,0.5,,
129,0.05223857984,1.459412575,0.6340113282,0,1.098950505,,1,0.5,0,0.5,,
130,0.05224014819,1.458973765,0.6333121061,0,1.098383069,,1,0.5,0,0.5,,
131,0.05224179849,1.458589792,0.6326192021,0,1.09784627,,1,0.5,0,0.5,,
132,0.05224345252,1.45814693,0.631929338,0,1.097281575,,1,0.5,0,0.5,,
133,0.05224502087,1.457719088,0.6312782764,0,1.096743703,,1,0.5,0,0.5,,
134,0.05224653333,1.457315803,0.6306133866,0,1.096211195,,1,0.5,0,0.5,,
135,0.05224801227,1.456833839,0.6299538612,0,1.095641851,,1,0.5,0,0.5,,
136,0.05224958435,1.456528544,0.6293038726,0,1.09516573,,1,0.5,0,0.5,,
137,0.0522512123,1.456103921,0.6286395788,0,1.09462297,,1,0.5,0,0.5,,
138,0.05225295573,1.455858946,0.6279734373,0,1.09416914,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=139 sur_raw(wl,dh,cong)=(0.0522565,0.626661,1.45511) px_raw(wl,den,cong)=(0.0644684,0.626661,1.19968) pv=0.977638 sur_n=0.9987/0.7718/0.9540 px_n=1.0061/0.7718/1.0564 gap_n(sur-px)=-0.0074/+0.0000/-0.1023 max_abs_gap=congestion(0.1023)
139,0.05225474387,1.455471158,0.6272999048,0,1.093640327,0.9776384392,1,0.5,0,0.5,,
140,0.05225647241,1.455107331,0.6266605854,0,1.093140364,,1,0.5,0,0.5,,
141,0.05225813761,1.454817176,0.6260069609,0,1.092670202,,1,0.5,0,0.5,,
142,0.05225972086,1.454353213,0.6253764033,0,1.092124462,,1,0.5,0,0.5,,
143,0.05226131156,1.453942657,0.6247233748,0,1.091594338,,1,0.5,0,0.5,,
144,0.0522628054,1.455224037,0.6241108179,0,1.09193027,,1,0.5,0,0.5,,
145,0.05226436257,1.454841614,0.6235100031,0,1.091440201,,1,0.5,0,0.5,,
146,0.05226619542,1.45450902,0.6228665709,0,1.090954065,,1,0.5,0,0.5,,
147,0.05226817355,1.454068184,0.6222025156,0,1.090403557,,1,0.5,0,0.5,,
148,0.05227002874,1.453707337,0.6215965748,0,1.089921951,,1,0.5,0,0.5,,
149,0.05227201432,1.453060031,0.620983243,0,1.089293718,,1,0.5,0,0.5,,
150,0.0522739552,1.452749491,0.6203641295,0,1.088830709,,1,0.5,0,0.5,,
151,0.05227585509,1.452369332,0.6197232604,0,1.088322163,,1,0.5,0,0.5,,
152,0.05227771774,1.450247884,0.619117856,0,1.086960554,,1,0.5,0,0.5,,
153,0.05227949098,1.451073527,0.6185249686,0,1.08707881,,1,0.5,0,0.5,,
154,0.05228139833,1.450660706,0.6179440618,0,1.086583853,,1,0.5,0,0.5,,
155,0.05228322372,1.450337648,0.6173716187,0,1.086137891,,1,0.5,0,0.5,,
156,0.05228509754,1.450046897,0.6168184876,0,1.085717797,,1,0.5,0,0.5,,
157,0.05228701606,1.449827075,0.616271615,0,1.085336328,,1,0.5,0,0.5,,
158,0.05228886753,1.449209332,0.6157151461,0,1.084751129,,1,0.5,0,0.5,,
[surrogate_vs_proxy] epoch=159 sur_raw(wl,dh,cong)=(0.0522926,0.614648,1.44682) px_raw(wl,den,cong)=(0.0645588,0.614648,1.1908) pv=0.967281 sur_n=0.9994/0.7570/0.9486 px_n=1.0075/0.7570/1.0485 gap_n(sur-px)=-0.0081/+0.0000/-0.1000 max_abs_gap=congestion(0.1000)
159,0.05229079351,1.447156668,0.6151848435,0,1.083461523,0.9672810421,1,0.5,0,0.5,,
160,0.05229262263,1.446820974,0.6146484017,0,1.083027363,,1,0.5,0,0.5,,
161,0.05229445547,1.445326447,0.6140833497,0,1.081999302,,1,0.5,0,0.5,,
162,0.05229629576,1.445032001,0.6135267019,0,1.081575632,,1,0.5,0,0.5,,
163,0.05229812115,1.44421041,0.6129990816,0,1.080902815,,1,0.5,0,0.5,,
164,0.05229992792,1.44394815,0.6124483943,0,1.080498219,,1,0.5,0,0.5,,
165,0.05230176821,1.443645,0.611915946,0,1.080082178,,1,0.5,0,0.5,,
166,0.05230375379,1.443323851,0.6113885641,0,1.079659939,,1,0.5,0,0.5,,
167,0.0523057729,1.443108916,0.6109055877,0,1.07931304,,1,0.5,0,0.5,,
168,0.05230782181,1.442790508,0.6104021072,0,1.078904152,,1,0.5,0,0.5,,
169,0.05230988562,1.442531109,0.6098972559,0,1.078524113,,1,0.5,0,0.5,,
170,0.05231190473,1.442060351,0.6094101667,0,1.078047156,,1,0.5,0,0.5,,
171,0.05231387168,1.442050099,0.6088997126,0,1.07778883,,1,0.5,0,0.5,,
172,0.0523156561,1.441806674,0.6084043384,0,1.077421188,,1,0.5,0,0.5,,
173,0.05231746286,1.441576958,0.6079223156,0,1.077067137,,1,0.5,0,0.5,,
174,0.05231927335,1.440891743,0.607429266,0,1.076479793,,1,0.5,0,0.5,,
175,0.05232105032,1.438954353,0.606998086,0,1.075297236,,1,0.5,0,0.5,,
176,0.05232279748,1.438676476,0.6065388322,0,1.074930429,,1,0.5,0,0.5,,
