epoch,accepted,sur_proxy,sur_cong,px_proxy,px_cong,gap_proxy,gap_cong
0,1,1.181251645,1.423221469,1.03893334,1.138584867,+0.1423183048,+0.2846366022
19,9,1.036180854,1.136713147,1.039431616,1.143214572,-0.003250762232,-0.006501424539
