epoch,abs_sur_cong_minus_px_cong
19,0.36009
39,0.3445600000000002
59,0.32674000000000003
79,0.3113999999999999
99,0.29047
119,0.27649999999999997
139,0.2554299999999998
159,0.2560199999999999
179,0.24653999999999998
199,0.24275000000000002
219,0.23635000000000006
239,0.23029999999999995
259,0.22917999999999994
279,0.22971999999999992
299,0.22519
319,0.22120000000000006
339,0.21731999999999996
359,0.21313000000000004
379,0.21492
399,0.20848999999999984
419,0.20692999999999984
439,0.2017
459,0.19568999999999992
479,0.18577
499,0.18312000000000017
519,0.1809299999999998
539,0.17755999999999994
559,0.18408000000000002
579,0.1822299999999999
599,0.18341000000000007
619,0.18707000000000007
639,0.18660999999999994
659,0.18469000000000002
679,0.18316999999999983
699,0.17974999999999985
719,0.1799900000000001
739,0.1782300000000001
759,0.17694999999999994
779,0.1739599999999999
799,0.17404999999999982
819,0.17079
839,0.16931000000000007
859,0.1647099999999999
879,0.16449000000000003
899,0.16080000000000005
919,0.15922999999999998
939,0.15790000000000015
959,0.15734999999999988
979,0.15743000000000018
999,0.15572999999999992
1019,0.15735999999999994
1039,0.15578000000000003
1059,0.15601999999999983
1079,0.15674999999999994
1099,0.15541000000000005
1119,0.15210999999999997
1139,0.1555899999999999
1159,0.15857999999999994
1179,0.15752999999999995
1199,0.15510000000000002
1219,0.15389000000000008
1239,0.15052
1259,0.15059
1279,0.15246000000000004
1299,0.15191
1319,0.15083000000000002
1339,0.1540300000000001
1359,0.15456000000000003
1379,0.1550100000000001
1399,0.15274999999999994
1419,0.15338000000000007
1439,0.1532
1459,0.15300000000000002
1479,0.14754
1499,0.14355000000000007
1519,0.14647999999999994
1539,0.14332999999999996
1559,0.14501000000000008
1579,0.15096999999999983
1599,0.14924000000000004
1619,0.1455200000000001
1639,0.14525999999999994
1659,0.15022999999999986
1679,0.14649
1699,0.1484399999999999
1719,0.14603999999999995
1739,0.14654000000000011
1759,0.14790000000000014
1779,0.15086
1799,0.15070000000000006
1819,0.15206999999999993
1839,0.14625
1859,0.14427000000000012
1879,0.1447799999999999
1899,0.1381000000000001
1919,0.13941999999999988
1939,0.13674999999999993
1959,0.13897000000000004
1979,0.13745000000000007
1999,0.13910999999999984
